#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
1	NC_032089.1	263479	264672	-	3640190	TIF	CAALFM_C101350CA	XP_718147.1	397	translation initiation factor eIF4A
1	NC_032089.1	265483	267465	-	3640191	-	CAALFM_C101360CA	XP_718148.2	660	glycogenin glucosyltransferase
1	NC_032089.1	269372	270012	-	30514961	RPS21B	CAALFM_C101370CA	XP_019330609.1	87	ribosomal 40S subunit protein S21B
1	NC_032089.1	270319	271974	-	3640235	TRM2	CAALFM_C101380CA	XP_718150.2	551	Trm2p
1	NC_032089.1	272374	274197	-	3640236	-	CAALFM_C101390CA	XP_718151.2	607	hypothetical protein CAALFM_C101390CA
1	NC_032089.1	275477	276952	-	3640237	-	CAALFM_C101400CA	XP_718152.1	491	sphinganine kinase
1	NC_032089.1	278222	279262	-	3640238	CRL1	CAALFM_C101420CA	XP_718153.1	346	Rho family GTPase
1	NC_032089.1	280421	280819	-	30514962	POX18	CAALFM_C101440CA	XP_019330610.1	132	Pox18p
1	NC_032089.1	282437	284137	+	3640239	ABC1	CAALFM_C101450WA	XP_718154.2	566	protein kinase
1	NC_032089.1	284639	287617	+	3640240	-	CAALFM_C101460WA	XP_718155.2	992	hypothetical protein CAALFM_C101460WA
1	NC_032089.1	288033	289328	+	3640241	-	CAALFM_C101470WA	XP_718156.2	431	mRNA-binding protein
1	NC_032089.1	289699	290448	-	3640242	RPS21	CAALFM_C101480CA	XP_718157.1	249	ribosomal 40S subunit protein S2
1	NC_032089.1	291847	292449	+	3640226	-	CAALFM_C101490WA	XP_718158.1	200	hypothetical protein CAALFM_C101490WA
1	NC_032089.1	299614	301767	+	3640229	-	CAALFM_C101510WA	XP_718161.2	717	hypothetical protein CAALFM_C101510WA
1	NC_032089.1	305308	306012	-	3640231	SOD2	CAALFM_C101520CA	XP_718163.1	234	superoxide dismutase
1	NC_032089.1	306618	308486	-	3640232	-	CAALFM_C101530CA	XP_718164.2	622	arginine--tRNA ligase
1	NC_032089.1	309122	310972	+	3640233	-	CAALFM_C101540WA	XP_718165.1	616	hypothetical protein CAALFM_C101540WA
1	NC_032089.1	311200	312759	+	3640218	VPS17	CAALFM_C101550WA	XP_718167.1	519	retromer subunit
1	NC_032089.1	313161	317798	+	3640219	SIZ1	CAALFM_C101560WA	XP_718168.2	1545	SUMO ligase
1	NC_032089.1	317950	318471	-	3640221	RPB7	CAALFM_C101570CA	XP_718170.1	173	DNA-directed RNA polymerase II subunit
1	NC_032089.1	318929	319459	+	3640222	-	CAALFM_C101580WA	XP_718171.1	176	mitochondrial 54S ribosomal protein YmL23
1	NC_032089.1	319665	323369	-	3640223	-	CAALFM_C101590CA	XP_718172.1	1234	DNA-directed RNA polymerase II core subunit
1	NC_032089.1	323650	324531	+	3640224	MRP20	CAALFM_C101600WA	XP_718173.2	293	mitochondrial 54S ribosomal protein YmL41
1	NC_032089.1	324887	325940	-	3640225	-	CAALFM_C101610CA	XP_019330611.1	291	hypothetical protein CAALFM_C101610CA
1	NC_032089.1	326428	327426	-	3640193	-	CAALFM_C101620CA	XP_718175.2	332	hypothetical protein CAALFM_C101620CA
1	NC_032089.1	331354	332037	+	3640194	-	CAALFM_C101630WA	XP_718176.2	227	hypothetical protein CAALFM_C101630WA
1	NC_032089.1	332721	334077	+	3640195	RPS42	CAALFM_C101640WA	XP_019330612.1	262	ribosomal 40S subunit protein S4A
1	NC_032089.1	334643	336025	+	3640196	ISN1	CAALFM_C101650WA	XP_718178.1	460	IMP 5\'-nucleotidase
1	NC_032089.1	336700	341496	-	3640197	ESP1	CAALFM_C101670CA	XP_718179.2	1598	separase
1	NC_032089.1	341928	342440	-	3640198	-	CAALFM_C101680CA	XP_718180.1	170	hypothetical protein CAALFM_C101680CA
1	NC_032089.1	342930	343901	-	3640199	LSC1	CAALFM_C101690CA	XP_718181.1	323	succinate--CoA ligase (GDP-forming) subunit alpha
1	NC_032089.1	345562	348762	+	3640200	ARP8	CAALFM_C101700WA	XP_718182.2	1066	Arp8p
1	NC_032089.1	351098	353101	+	3640201	-	CAALFM_C101710WA	XP_718183.1	667	hypothetical protein CAALFM_C101710WA
1	NC_032089.1	357079	359466	+	3645414	CTN1	CAALFM_C101740WA	XP_712976.1	795	carnitine O-acetyltransferase
1	NC_032089.1	361029	362930	+	3645413	-	CAALFM_C101750WA	XP_712975.2	633	hypothetical protein CAALFM_C101750WA
1	NC_032089.1	364172	366307	+	3645412	FGR38	CAALFM_C101760WA	XP_712974.2	711	Fgr38p
1	NC_032089.1	366730	367860	+	3645411	MAK32	CAALFM_C101770WA	XP_712973.1	376	Mak32p
1	NC_032089.1	367933	369807	-	3645409	HOL4	CAALFM_C101780CA	XP_712971.2	624	Hol4p
1	NC_032089.1	372225	375440	+	3645408	SWI4	CAALFM_C101790WA	XP_019330613.1	1019	SBF complex DNA-binding subunit
1	NC_032089.1	375835	376554	+	3645407	-	CAALFM_C101800WA	XP_712969.1	239	hypothetical protein CAALFM_C101800WA
1	NC_032089.1	376645	378174	-	3645436	UGA2	CAALFM_C101810CA	XP_712968.1	509	Uga2p
1	NC_032089.1	378463	379650	-	3645435	-	CAALFM_C101820CA	XP_712967.1	395	TFIIH complex kinase subunit
1	NC_032089.1	380212	380784	-	3645433	UBC8	CAALFM_C101830CA	XP_712965.1	190	E2 ubiquitin-conjugating protein
1	NC_032089.1	381538	382092	-	3645432	-	CAALFM_C101840CA	XP_712964.1	184	hypothetical protein CAALFM_C101840CA
1	NC_032089.1	382760	383590	-	3645431	-	CAALFM_C101850CA	XP_712963.1	276	hypothetical protein CAALFM_C101850CA
1	NC_032089.1	383753	384670	+	3645430	-	CAALFM_C101860WA	XP_712962.1	305	hypothetical protein CAALFM_C101860WA
1	NC_032089.1	384790	386280	-	3645429	CYS4	CAALFM_C101870CA	XP_712961.1	496	cystathionine beta-synthase
1	NC_032089.1	386597	388924	-	3645428	PTR3	CAALFM_C101880CA	XP_712960.2	775	Ptr3p
1	NC_032089.1	389271	390800	-	3645427	-	CAALFM_C101890CA	XP_712959.2	509	hypothetical protein CAALFM_C101890CA
1	NC_032089.1	391247	392764	-	3645426	-	CAALFM_C101900CA	XP_712958.2	505	hypothetical protein CAALFM_C101900CA
1	NC_032089.1	393296	394360	+	3645425	-	CAALFM_C101910WA	XP_712957.2	354	hypothetical protein CAALFM_C101910WA
1	NC_032089.1	395587	399411	+	3645424	ROA1	CAALFM_C101920WA	XP_712956.2	1274	Roa1p
1	NC_032089.1	400591	401977	+	30514966	-	CAALFM_C101930WA	XP_019330614.1	366	hypothetical protein CAALFM_C101930WA
1	NC_032089.1	402263	402769	-	3645422	-	CAALFM_C101940CA	XP_712954.1	168	signal recognition particle subunit
1	NC_032089.1	403144	403689	-	3645421	-	CAALFM_C101950CA	XP_712953.1	181	hypothetical protein CAALFM_C101950CA
1	NC_032089.1	405749	406027	+	30514967	-	CAALFM_C101970WA	XP_019330615.1	92	hypothetical protein CAALFM_C101970WA
1	NC_032089.1	406673	408310	+	3645420	HGT1	CAALFM_C101980WA	XP_712952.2	545	Hgt1p
1	NC_032089.1	411340	412368	+	3645419	HSP30	CAALFM_C101990WA	XP_712951.1	342	Hsp30p
1	NC_032089.1	412817	413818	+	3645418	-	CAALFM_C102000WA	XP_712950.2	333	hypothetical protein CAALFM_C102000WA
1	NC_032089.1	414090	416273	-	3645417	ZCF24	CAALFM_C102010CA	XP_019330616.1	701	Zcf24p
1	NC_032089.1	416452	417075	+	3645416	-	CAALFM_C102020WA	XP_712948.1	207	5-formyltetrahydrofolate cyclo-ligase
1	NC_032089.1	417078	417521	-	3645415	-	CAALFM_C102030CA	XP_712947.1	147	hypothetical protein CAALFM_C102030CA
1	NC_032089.1	418019	420493	-	3644586	-	CAALFM_C102040CA	XP_713755.2	824	putative ubiquitin-specific protease
1	NC_032089.1	421264	423846	-	3644588	PHO91	CAALFM_C102050CA	XP_713757.1	860	Pho91p
1	NC_032089.1	425985	426615	+	30514968	-	CAALFM_C102060WA	XP_019330617.1	88	hypothetical protein CAALFM_C102060WA
1	NC_032089.1	427843	428838	+	3644589	HSP31	CAALFM_C102070WA	XP_713758.1	331	Hsp31p
1	NC_032089.1	429371	430510	+	3644590	SET6	CAALFM_C102080WA	XP_713759.1	379	Set6p
1	NC_032089.1	430507	431994	-	3644577	-	CAALFM_C102090CA	XP_713760.2	495	hypothetical protein CAALFM_C102090CA
1	NC_032089.1	432225	433841	+	3644578	-	CAALFM_C102100WA	XP_713761.2	538	hypothetical protein CAALFM_C102100WA
1	NC_032089.1	434412	436049	-	3644579	HGT2	CAALFM_C102110CA	XP_713762.1	545	Hgt2p
1	NC_032089.1	442448	444235	-	3644580	SHA3	CAALFM_C102120CA	XP_713763.1	595	putative serine/threonine protein kinase
1	NC_032089.1	449253	450800	-	3644581	GAL1	CAALFM_C102130CA	XP_713764.1	515	galactokinase
1	NC_032089.1	452164	454191	+	3644583	GAL10	CAALFM_C102150WA	XP_713766.2	675	bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase
1	NC_032089.1	454396	454902	+	3644584	-	CAALFM_C102160WA	XP_713767.1	168	TRAPP subunit
1	NC_032089.1	454861	455823	-	3644585	GAL102	CAALFM_C102170CA	XP_713768.1	320	Gal102p
1	NC_032089.1	456751	457911	+	3644591	GAL7	CAALFM_C102180WA	XP_713769.2	386	UDP-glucose:hexose-1-phosphate uridylyltransferase
1	NC_032089.1	458366	459304	+	3644592	ABP140	CAALFM_C102190WA	XP_713770.1	312	Abp140p
1	NC_032089.1	459294	460130	-	3644593	-	CAALFM_C102200CA	XP_713771.2	278	hypothetical protein CAALFM_C102200CA
1	NC_032089.1	461070	462782	+	3644594	-	CAALFM_C102210WA	XP_713772.2	570	hypothetical protein CAALFM_C102210WA
1	NC_032089.1	462849	463859	-	3644595	-	CAALFM_C102220CA	XP_713773.1	336	NADHX epimerase
1	NC_032089.1	465637	467649	+	3644596	SEP7	CAALFM_C102230WA	XP_713774.1	670	septin
1	NC_032089.1	469116	471743	+	3644597	-	CAALFM_C102240WA	XP_713775.1	875	karyopherin beta
1	NC_032089.1	474919	475644	+	3644598	CWH8	CAALFM_C102250WA	XP_713776.1	241	Cwh8p
1	NC_032089.1	475896	477035	-	3644565	AGE3	CAALFM_C102260CA	XP_713777.2	379	Age3p
1	NC_032089.1	477305	478183	-	3644566	-	CAALFM_C102270CA	XP_713778.2	292	hypothetical protein CAALFM_C102270CA
1	NC_032089.1	478626	481568	-	3644567	PSY2	CAALFM_C102280CA	XP_713779.2	980	Psy2p
1	NC_032089.1	482379	483590	-	3644568	-	CAALFM_C102290CA	XP_713780.2	403	ATP synthase complex assembly protein
1	NC_032089.1	483698	484063	+	3644569	-	CAALFM_C102300WA	XP_713781.1	121	prefolding complex chaperone subunit
1	NC_032089.1	484174	484539	-	3644570	-	CAALFM_C102310CA	XP_713782.1	121	chromatin DNA-binding EKC/KEOPS complex subunit
1	NC_032089.1	484846	486477	-	3644572	-	CAALFM_C102320CA	XP_713784.2	543	bifunctional fructose-2,6-bisphosphate 2-phosphatase/6-phosphofructo-2-kinase
1	NC_032089.1	487350	488196	-	30514969	-	CAALFM_C102330CA	XP_019330618.1	127	ribosomal 60S subunit protein L26B
1	NC_032089.1	489332	490138	+	3644573	TIM21	CAALFM_C102350WA	XP_713785.1	268	Tim21p
1	NC_032089.1	490252	492177	-	3644575	PGA5	CAALFM_C102360CA	XP_713787.2	641	1,3-beta-glucanosyltransferase
1	NC_032089.1	492588	496217	-	3644576	-	CAALFM_C102370CA	XP_713788.2	1209	hypothetical protein CAALFM_C102370CA
1	NC_032089.1	498351	498953	-	3636790	-	CAALFM_C102380CA	XP_721425.2	200	Arf family GTPase
1	NC_032089.1	499217	501709	+	3636791	-	CAALFM_C102390WA	XP_721426.2	830	hypothetical protein CAALFM_C102390WA
1	NC_032089.1	502050	503384	-	3636792	MNN11	CAALFM_C102400CA	XP_721427.2	444	alpha-1,6-mannosyltransferase
1	NC_032089.1	504151	505224	-	3636793	-	CAALFM_C102410CA	XP_721428.2	357	hypothetical protein CAALFM_C102410CA
1	NC_032089.1	505969	511662	-	3636794	GSC1	CAALFM_C102420CA	XP_721429.2	1897	1,3-beta-glucan synthase
1	NC_032089.1	515594	517525	-	3636846	-	CAALFM_C102430CA	XP_721430.2	643	hypothetical protein CAALFM_C102430CA
